,DateString,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Symbol,SwHL,Peak,Consol_Detected,Consol_LHS_Price,Consol_Len_Bars,Consol_Depth_Percent,Close_21_bar_ema,Close_50_bar_sma,Close_150_bar_sma,Close_200_bar_sma,RSL,RSL_NH,DayOfWeek,RS,RS_New_High,52_week_low,52_week_high,Stage 2
195,2024-01-02,74.82343,75.368866,73.70282,74.168915,2979847.8,221184060.0,74.79,0.0,DELL,-1,0,False,0.0,0,0.0,73.1744451344791,71.00997039794922,61.91173868815104,,0.015638113,False,1,83,False,,,False
196,2024-01-03,74.20859,76.17214,73.93587,75.96388,4229418.5,320655200.0,76.6,0.0,DELL,0,0,False,0.0,0,0.0,73.42803034464364,71.22933334350586,62.109222946166994,,0.016146004,False,2,83,False,,,False
197,2024-01-04,76.0333,76.48948,75.2102,75.33912,3054830.5,231517250.0,75.97,0.0,DELL,1,0,False,0.0,0,0.0,73.6017656730869,71.43620101928711,62.3189293162028,,0.0160683,False,3,83,False,,,False
198,2024-01-05,74.81352,75.81513,74.70444,75.2102,2975769.8,224224340.0,75.84,0.0,DELL,-1,0,False,0.0,0,0.0,73.74798674359995,71.6125245666504,62.52353253682455,,0.016011572,False,4,83,False,,,False
199,2024-01-08,77.35226,79.00839,76.717575,78.700966,6607315.5,517630800.0,79.36,0.0,DELL,1,1,False,0.0,0,0.0,74.1982575743043,71.87076217651367,62.73959045410156,57.68760551452637,0.016521528,False,0,84,False,,,False
200,2024-01-09,78.51254,78.790215,76.42007,76.46965,4889685.5,376642100.0,77.11,0.0,DELL,-1,0,False,0.0,0,0.0,74.40474781923614,72.12066940307618,62.95245943705241,57.886354484558105,0.016076874,False,1,84,False,,,False
201,2024-01-10,77.18367,78.10595,77.03492,77.60018,3080315.0,239074260.0,78.25,0.0,DELL,0,0,False,0.0,0,0.0,74.69524179745011,72.36442810058594,63.1639208984375,58.09289211273193,0.016222639,False,2,84,False,,,False
202,2024-01-11,78.11586,79.137314,76.89608,79.04806,4057722.8,318145540.0,79.71,0.0,DELL,0,0,False,0.0,0,0.0,75.09095232096848,72.62782241821289,63.37974652608236,58.30370784759521,0.01653642,False,3,85,False,,,False
203,2024-01-12,79.27615,79.60341,78.53238,78.65138,4884092.0,385539420.0,79.31,0.0,DELL,1,1,False,0.0,0,0.0,75.41462778690672,72.87376281738281,63.591426060994465,58.5109867477417,0.01644109,False,4,85,False,,,False
204,2024-01-16,78.343956,78.909225,77.84811,78.859634,4384727.5,343672540.0,79.52,0.0,DELL,0,0,False,0.0,0,0.0,75.72781020622556,73.08896072387695,63.806321970621745,58.71537473678589,0.016546363,False,1,85,False,,,False
